time,SlantCorrectedReads
0.0832408435072142,36.26
0.166481687014428,30.953385127636
0.249722530521643,37.6467702552719
0.332963374028857,31.3401553829079
0.416204217536071,28.0335405105438
0.499445061043285,24.7269256381798
0.582685904550499,27.4203107658158
0.665926748057714,22.1136958934517
0.749167591564928,14.8070810210877
0.832408435072142,15.5004661487236
0.915649278579356,15.1938512763596
0.99889012208657,8.88723640399553
1.08213096559378,3.58062153163149
1.165371809101,7.27400665926746
1.24861265260821,0.96739178690342
1.33185349611543,2.66077691453938
1.41509433962264,3.35416204217535
1.49833518312986,-0.95245283018869
1.58157602663707,4.74093229744727
1.66481687014428,-1.56568257491676
1.7480577136515,-9.8722974472808
1.83129855715871,-14.1789123196448
1.91453940066593,-6.48552719200887
1.99778024417314,-3.79214206437291
2.08102108768036,-10.0987569367369
2.16426193118757,-14.405371809101
2.24750277469478,-10.711986681465
2.330743618202,-15.0186015538291
2.41398446170921,-17.3252164261932
2.49722530521643,-12.6318312985572
2.58046614872364,-20.9384461709212
2.66370699223085,-26.2450610432853
2.74694783573807,-23.5516759156493
2.83018867924528,-24.8582907880133
2.9134295227525,-30.1649056603774
2.99667036625971,-27.4715205327414
3.07991120976693,-23.7781354051054
3.16315205327414,-26.0847502774695
3.24639289678135,-25.3913651498335
3.32963374028857,-25.6979800221976
3.41287458379578,-32.0045948945616
3.496115427303,-31.3112097669256
3.57935627081021,-28.6178246392897
3.66259711431743,-30.9244395116537
3.74583795782464,-31.2310543840177
3.82907880133185,-32.5376692563818
3.91231964483907,-26.8442841287459
3.99556048834628,-33.1508990011099
4.0788013318535,-36.4575138734739
4.16204217536071,-36.764128745838
4.24528301886792,-30.070743618202
4.32852386237514,-35.3773584905661
4.41176470588235,-36.6839733629301
4.49500554938957,-40.9905882352941
4.57824639289678,-40.2972031076582
4.661487236404,-41.6038179800222
4.74472807991121,-40.9104328523862
4.82796892341842,-37.2170477247503
4.91120976692564,-43.5236625971143
4.99445061043285,-41.8302774694783
5.07769145394007,-45.1368923418424
5.16093229744728,-51.4435072142064
5.2441731409545,-41.7501220865705
5.32741398446171,-45.0567369589346
5.41065482796892,-44.3633518312986
5.49389567147614,-49.6699667036626
5.57713651498335,-48.9765815760267
5.66037735849057,-48.2831964483907
5.74361820199778,-53.5898113207547
5.826859045505,-51.8964261931188
5.91009988901221,-51.2030410654828
5.99334073251942,-55.5096559378468
6.07658157602664,-53.8162708102109
6.15982241953385,-54.1228856825749
6.24306326304107,-56.429500554939
6.32630410654828,-52.736115427303
6.40954495005549,-52.042730299667
6.49278579356271,-54.3493451720311
6.57602663706992,-55.6559600443951
6.65926748057714,-50.9625749167592
6.74250832408435,-54.2691897891232
6.82574916759157,-53.5758046614873
6.90899001109878,-61.8824195338513
6.99223085460599,-62.1890344062153
7.07547169811321,-63.4956492785794
7.15871254162042,-59.8022641509434
7.24195338512764,-62.1088790233075
7.32519422863485,-62.4154938956715
7.40843507214206,-63.7221087680355
7.49167591564928,-62.0287236403996
7.57491675915649,-63.3353385127636
7.65815760266371,-64.6419533851276
7.74139844617092,-62.9485682574917
7.82463928967814,-72.2551831298557
7.90788013318535,-63.5617980022197
7.99112097669256,-65.8684128745838
8.07436182019978,-70.1750277469478
8.15760266370699,-69.4816426193119
8.24084350721421,-78.7882574916759
8.32408435072142,-77.09487236404
8.40732519422864,-73.401487236404
8.49056603773585,-67.7081021087681
8.57380688124306,-76.0147169811321
8.65704772475028,-77.3213318534961
8.74028856825749,-76.6279467258602
8.82352941176471,-83.9345615982242
8.90677025527192,-81.2411764705882
8.99001109877914,-74.5477913429523
9.07325194228635,-80.8544062153163
9.15649278579356,-77.1610210876804
9.23973362930078,-76.4676359600444
9.32297447280799,-78.7742508324084
9.40621531631521,-79.0808657047725
9.48945615982242,-84.3874805771365
9.57269700332964,-82.6940954495005
9.65593784683685,-88.0007103218646
9.73917869034406,-90.3073251942287
9.82241953385128,-90.6139400665927
9.90566037735849,-91.9205549389567
9.9889012208657,-87.2271698113208
10.0721420643729,-98.5337846836848
10.1553829078801,-90.8403995560489
10.2386237513873,-95.1470144284129
10.3218645948946,-95.4536293007769
10.4051054384018,-99.760244173141
10.488346281909,-98.066859045505
10.5715871254162,-96.373473917869
10.6548279689234,-93.6800887902331
10.7380688124306,-99.9867036625971
10.8213096559378,-97.2933185349611
10.9045504994451,-95.5999334073252
10.9877913429523,-103.906548279689
11.0710321864595,-103.213163152053
11.1542730299667,-100.519778024417
11.2375138734739,-94.8263928967814
11.3207547169811,-92.1330077691454
11.4039955604883,-93.4396226415095
11.4872364039956,-90.7462375138735
11.5704772475028,-82.0528523862375
11.65371809101,-80.3594672586016
11.7369589345172,-78.6660821309656
11.8201997780244,-75.9726970033296
11.9034406215316,-68.2793118756937
11.9866814650388,-73.5859267480577
12.0699223085461,-71.8925416204218
12.1531631520533,-72.1991564927858
12.2364039955605,-70.5057713651498
12.3196448390677,-74.8123862375139
12.4028856825749,-85.1190011098779
12.4861265260821,-80.425615982242
12.5693673695893,-82.732230854606
12.6526082130966,-88.0388457269701
12.7358490566038,-84.3454605993341
12.819089900111,-89.6520754716981
12.9023307436182,-87.9586903440622
12.9855715871254,-92.2653052164262
13.0688124306326,-97.5719200887903
13.1520532741398,-99.8785349611543
13.2352941176471,-100.185149833518
13.3185349611543,-92.4917647058824
13.4017758046615,-98.7983795782464
13.4850166481687,-99.1049944506104
13.5682574916759,-106.411609322974
13.6514983351831,-105.718224195339
13.7347391786903,-105.024839067703
13.8179800221976,-108.331453940067
13.9012208657048,-110.638068812431
